trial,treatment,time,cfus.control,cfus.heat
1,pbs,0,295350000,465500000
1,pbs,6,1217500000,83633333
1,pbs,24,4340800000,572766666
1,pbs,26,1362000000,480000000
1,pbs,28,1062000000,341700000
1,pbs,30,5940000000,1321500000
1,pbs,32,1505000000,178666666
1,pbs,34,763500000,469166666
1,pbs,54,499250000,429000000
1,phage,0,1317050000,136500000
1,phage,6,3819500000,244500000
1,phage,24,6000000000,841000000
1,phage,26,1227000000,617500000
1,phage,28,1327000000,385000000
1,phage,30,2840000000,612500000
1,phage,32,1787500000,1222333333
1,phage,34,1057000000,275500000
1,phage,54,703000000,1874000000
2,pbs,0,533900000,312933333
2,pbs,6,1219000000,286700000
2,pbs,24,1880500000,419366666
2,pbs,26,3190500000,728466666
2,pbs,28,1488500000,1003100000
2,pbs,30,1630000000,507500000
2,pbs,32,417000000,527966666
2,pbs,34,455500000,115433333
2,pbs,54,2166666666,104366666
2,phage,0,354333333,244500000
2,phage,6,1441000000,99266666
2,phage,24,1961000000,508966666
2,phage,26,2088000000,350766666
2,phage,28,1720000000,731000000
2,phage,30,2220000000,664633333
2,phage,32,1105000000,171450000
2,phage,34,643000000,78033333
2,phage,54,2360000000,449500000
3,pbs,0,237500000,72333333
3,pbs,6,661333333,40800000
3,pbs,24,4197500000,296366666
3,pbs,26,5360000000,413533333
3,pbs,28,1452000000,1508000000
3,pbs,30,989500000,227900000
3,pbs,32,3280000000,436433333
3,pbs,34,2440000000,514000000
3,pbs,54,1753500000,467833333
3,phage,0,209866666,74100000
3,phage,6,1540000000,336066666
3,phage,24,2016000000,675500000
3,phage,26,2492000000,195500000
3,phage,28,1572000000,2360000000
3,phage,30,2327500000,348000000
3,phage,32,4350000000,1466500000
3,phage,34,3560000000,576000000
3,phage,54,1421000000,764500000
